date,symbol,open,high,low,close,Volume BTC,Volume USD
29/08/2017,BTC/USD,4379.99,4649.78,4336.26,4578.82,53470073.42,11875.02
28/08/2017,BTC/USD,4337.68,4399.72,4169.01,4379.99,37056561.52,8636.26
27/08/2017,BTC/USD,4333.38,4393.3,4290.32,4337.68,17115061.37,3944.92
26/08/2017,BTC/USD,4355.98,4369.78,4232.43,4333.38,28226249.72,6559.28
25/08/2017,BTC/USD,4300.34,4449.98,4270,4355.98,42239588.77,9691.7
24/08/2017,BTC/USD,4108.12,4350,4082.57,4300.34,45158907.08,10779.09
23/08/2017,BTC/USD,4085,4248.97,4051.94,4108.12,62086390.53,14972.03
22/08/2017,BTC/USD,3987.52,4139.31,3600,4085,91500637.87,23497.56
21/08/2017,BTC/USD,4058.68,4080,3949.78,3987.52,39194496.37,9779.7
20/08/2017,BTC/USD,4099.55,4125.95,4000,4058.68,25281427.99,6235.95
19/08/2017,BTC/USD,4100,4188,3900,4099.55,60597363.73,15034.29
18/08/2017,BTC/USD,4276.5,4368,3964.96,4100,72432096,17329.3
17/08/2017,BTC/USD,4378.84,4480,4167.21,4276.5,63198384.95,14566.12
